 Local Health Districts, year, Sex, State comparison, Average number per year," Rate per 100,000 population", LL 95% CI, UL 95% CI
 South Western Sydney LHD, 2010-2011, Females, Rest of NSW,750.3,16.2,15.4,17.1
 South Western Sydney LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 South Western Sydney LHD, 2010-2011, Persons, South Western Sydney LHD,162.3,19.5,17.4,21.8
 South Western Sydney LHD, 2010-2011, Persons, Rest of NSW,1546.3,20.5,19.7,21.2
 South Western Sydney LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 South Western Sydney LHD, 2011-2012, Males, South Western Sydney LHD,92.7,23.4,20.1,27.1
 South Western Sydney LHD, 2011-2012, Males, Rest of NSW,797.9,23.7,22.5,24.9
 South Western Sydney LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 South Western Sydney LHD, 2011-2012, Females, South Western Sydney LHD,74.7,15.2,12.8,17.9
 South Western Sydney LHD, 2011-2012, Females, Rest of NSW,748.5,15.9,15,16.7
 South Western Sydney LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 South Western Sydney LHD, 2011-2012, Persons, South Western Sydney LHD,167.5,19.4,17.4,21.6
 South Western Sydney LHD, 2011-2012, Persons, Rest of NSW,1546.4,20,19.3,20.8
 South Western Sydney LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 South Western Sydney LHD, 2012-2013, Males, South Western Sydney LHD,93.8,22.9,19.7,26.5
 South Western Sydney LHD, 2012-2013, Males, Rest of NSW,813.1,23.6,22.5,24.8
 South Western Sydney LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 South Western Sydney LHD, 2012-2013, Females, South Western Sydney LHD,75.4,14.9,12.6,17.5
 South Western Sydney LHD, 2012-2013, Females, Rest of NSW,720.2,15,14.2,15.8
 South Western Sydney LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 South Western Sydney LHD, 2012-2013, Persons, South Western Sydney LHD,169.2,19,17,21.2
 South Western Sydney LHD, 2012-2013, Persons, Rest of NSW,1533.2,19.5,18.8,20.2
 South Western Sydney LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 South Western Sydney LHD, 2013-2014, Males, South Western Sydney LHD,98.6,23.3,20.1,26.8
 South Western Sydney LHD, 2013-2014, Males, Rest of NSW,848.2,24.1,22.9,25.3
 South Western Sydney LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 South Western Sydney LHD, 2013-2014, Females, South Western Sydney LHD,77.6,15,12.7,17.6
 South Western Sydney LHD, 2013-2014, Females, Rest of NSW,719.5,14.6,13.9,15.4
 South Western Sydney LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 South Western Sydney LHD, 2013-2014, Persons, South Western Sydney LHD,176.2,19.3,17.3,21.4
 South Western Sydney LHD, 2013-2014, Persons, Rest of NSW,1567.7,19.5,18.8,20.2
 South Western Sydney LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 South Western Sydney LHD, 2014-2015, Males, South Western Sydney LHD,101.8,23.4,20.2,26.9
 South Western Sydney LHD, 2014-2015, Males, Rest of NSW,878.3,24.4,23.3,25.6
 South Western Sydney LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 South Western Sydney LHD, 2014-2015, Females, South Western Sydney LHD,77.4,14.5,12.3,17.1
 South Western Sydney LHD, 2014-2015, Females, Rest of NSW,732.1,14.6,13.9,15.4
 South Western Sydney LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 South Western Sydney LHD, 2014-2015, Persons, South Western Sydney LHD,179.2,19.1,17.1,21.2
 South Western Sydney LHD, 2014-2015, Persons, Rest of NSW,1610.3,19.7,19,20.4
 South Western Sydney LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 South Western Sydney LHD, 2015-2016, Males, South Western Sydney LHD,99.4,22.2,19.1,25.5
 South Western Sydney LHD, 2015-2016, Males, Rest of NSW,895.3,24.3,23.2,25.5
 South Western Sydney LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 South Western Sydney LHD, 2015-2016, Females, South Western Sydney LHD,76.1,13.8,11.7,16.2
 South Western Sydney LHD, 2015-2016, Females, Rest of NSW,722.6,14.3,13.6,15.1
 South Western Sydney LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 South Western Sydney LHD, 2015-2016, Persons, South Western Sydney LHD,175.5,18.1,16.3,20.1
 South Western Sydney LHD, 2015-2016, Persons, Rest of NSW,1617.9,19.4,18.7,20.1
 South Western Sydney LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 South Eastern Sydney LHD, 2001-2002, Males, South Eastern Sydney LHD,95.8,26.3,22.7,30.3
 South Eastern Sydney LHD, 2001-2002, Males, Rest of NSW,831.8,31.5,30,33.1
 South Eastern Sydney LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 South Eastern Sydney LHD, 2001-2002, Females, South Eastern Sydney LHD,100.3,18.9,16.4,21.8
 South Eastern Sydney LHD, 2001-2002, Females, Rest of NSW,787.9,22.2,21.1,23.3
 South Eastern Sydney LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 South Eastern Sydney LHD, 2001-2002, Persons, South Eastern Sydney LHD,196,23.1,20.8,25.5
 South Eastern Sydney LHD, 2001-2002, Persons, Rest of NSW,1619.7,27.4,26.4,28.3
 South Eastern Sydney LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 South Eastern Sydney LHD, 2002-2003, Males, South Eastern Sydney LHD,94.4,25.4,21.9,29.3
 South Eastern Sydney LHD, 2002-2003, Males, Rest of NSW,812.6,30.3,28.8,31.8
 South Eastern Sydney LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 South Eastern Sydney LHD, 2002-2003, Females, South Eastern Sydney LHD,102.9,19,16.4,21.8
 South Eastern Sydney LHD, 2002-2003, Females, Rest of NSW,806.3,22.2,21.1,23.3
 South Eastern Sydney LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 South Eastern Sydney LHD, 2002-2003, Persons, South Eastern Sydney LHD,197.3,22.8,20.6,25.2
 South Eastern Sydney LHD, 2002-2003, Persons, Rest of NSW,1618.9,26.8,25.9,27.7
 South Eastern Sydney LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 South Eastern Sydney LHD, 2003-2004, Males, South Eastern Sydney LHD,92.3,24.7,21.2,28.5
 South Eastern Sydney LHD, 2003-2004, Males, Rest of NSW,772,28.4,27,29.9
 South Eastern Sydney LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 South Eastern Sydney LHD, 2003-2004, Females, South Eastern Sydney LHD,98.8,17.9,15.5,20.7
 South Eastern Sydney LHD, 2003-2004, Females, Rest of NSW,795.8,21.4,20.3,22.5
 South Eastern Sydney LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 South Eastern Sydney LHD, 2003-2004, Persons, South Eastern Sydney LHD,191.1,21.8,19.7,24.1
 South Eastern Sydney LHD, 2003-2004, Persons, Rest of NSW,1567.8,25.5,24.6,26.4
 South Eastern Sydney LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 South Eastern Sydney LHD, 2004-2005, Males, South Eastern Sydney LHD,86.1,22.8,19.5,26.5
 South Eastern Sydney LHD, 2004-2005, Males, Rest of NSW,749.3,27.1,25.7,28.5
 South Eastern Sydney LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 South Eastern Sydney LHD, 2004-2005, Females, South Eastern Sydney LHD,97.6,17.8,15.3,20.5
 South Eastern Sydney LHD, 2004-2005, Females, Rest of NSW,762.5,20,19,21
 South Eastern Sydney LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 South Eastern Sydney LHD, 2004-2005, Persons, South Eastern Sydney LHD,183.7,20.7,18.6,23
 South Eastern Sydney LHD, 2004-2005, Persons, Rest of NSW,1511.8,24.1,23.2,24.9
 South Eastern Sydney LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 South Eastern Sydney LHD, 2005-2006, Males, South Eastern Sydney LHD,86.9,22.7,19.4,26.4
 South Eastern Sydney LHD, 2005-2006, Males, Rest of NSW,759.5,26.9,25.5,28.3
 South Eastern Sydney LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 South Eastern Sydney LHD, 2005-2006, Females, South Eastern Sydney LHD,95.5,17.3,14.9,20.1
