 Local Health Districts, year, State comparison, Sex, Number," Rate per 100,000 population", LL 95% CI, UL 95% CI
 Sydney LHD, 2003-04, Rest of NSW, Persons,"32,956",526.9,521.2,532.6
 Sydney LHD, 2003-04, Total NSW, Males,"21,257",653.5,644.7,662.4
 Sydney LHD, 2003-04, Total NSW, Females,"14,319",395.9,389.4,402.5
 Sydney LHD, 2003-04, Total NSW, Persons,"35,576",524.8,519.3,530.3
 Sydney LHD, 2004-05, Sydney LHD, Males,"1,658",664.9,632.3,698.7
 Sydney LHD, 2004-05, Sydney LHD, Females,985,356.5,334.3,379.8
 Sydney LHD, 2004-05, Sydney LHD, Persons,"2,643",506.9,487.5,526.8
 Sydney LHD, 2004-05, Rest of NSW, Males,"20,339",673.3,664,682.6
 Sydney LHD, 2004-05, Rest of NSW, Females,"13,375",395.1,388.3,401.9
 Sydney LHD, 2004-05, Rest of NSW, Persons,"33,714",534.1,528.4,539.9
 Sydney LHD, 2004-05, Total NSW, Males,"21,997",670.3,661.4,679.2
 Sydney LHD, 2004-05, Total NSW, Females,"14,360",392.3,385.9,398.9
 Sydney LHD, 2004-05, Total NSW, Persons,"36,358",530.9,525.5,536.4
 Sydney LHD, 2005-06, Sydney LHD, Males,"1,716",661,629.4,693.7
 Sydney LHD, 2005-06, Sydney LHD, Females,942,340.5,318.8,363.3
 Sydney LHD, 2005-06, Sydney LHD, Persons,"2,658",498.1,479.1,517.6
 Sydney LHD, 2005-06, Rest of NSW, Males,"21,587",707.9,698.5,717.4
 Sydney LHD, 2005-06, Rest of NSW, Females,"14,228",418,411.1,425
 Sydney LHD, 2005-06, Rest of NSW, Persons,"35,816",562.6,556.8,568.5
 Sydney LHD, 2005-06, Total NSW, Males,"23,303",702.7,693.6,711.8
 Sydney LHD, 2005-06, Total NSW, Females,"15,170",412,405.4,418.6
 Sydney LHD, 2005-06, Total NSW, Persons,"38,474",556.5,551,562.1
 Sydney LHD, 2006-07, Sydney LHD, Males,"1,826",680.1,648.8,712.5
 Sydney LHD, 2006-07, Sydney LHD, Females,977,349.9,328,372.8
 Sydney LHD, 2006-07, Sydney LHD, Persons,"2,803",513.6,494.6,533.2
 Sydney LHD, 2006-07, Rest of NSW, Males,"23,113",747.4,737.8,757.1
 Sydney LHD, 2006-07, Rest of NSW, Females,"15,573",453.8,446.6,461.1
 Sydney LHD, 2006-07, Rest of NSW, Persons,"38,687",599.7,593.7,605.7
 Sydney LHD, 2006-07, Total NSW, Males,"24,939",740.5,731.3,749.8
 Sydney LHD, 2006-07, Total NSW, Females,"16,550",445.2,438.4,452.1
 Sydney LHD, 2006-07, Total NSW, Persons,"41,489",591.6,585.9,597.3
 Sydney LHD, 2007-08, Sydney LHD, Males,"1,849",679.5,648.4,711.7
 Sydney LHD, 2007-08, Sydney LHD, Females,"1,108",387.3,364.5,411.1
 Sydney LHD, 2007-08, Sydney LHD, Persons,"2,957",531.8,512.6,551.5
 Sydney LHD, 2007-08, Rest of NSW, Males,"23,357",740.5,731,750.1
 Sydney LHD, 2007-08, Rest of NSW, Females,"16,044",458.3,451.1,465.5
 Sydney LHD, 2007-08, Rest of NSW, Persons,"39,401",598.7,592.8,604.7
 Sydney LHD, 2007-08, Total NSW, Males,"25,207",734.1,725,743.2
 Sydney LHD, 2007-08, Total NSW, Females,"17,151",452.4,445.5,459.3
 Sydney LHD, 2007-08, Total NSW, Persons,"42,358",592.2,586.5,597.9
 Sydney LHD, 2008-09, Sydney LHD, Males,"1,944",702.6,671.2,735
 Sydney LHD, 2008-09, Sydney LHD, Females,"1,167",395.7,373.1,419.4
 Sydney LHD, 2008-09, Sydney LHD, Persons,"3,111",547.5,528.2,567.3
 Sydney LHD, 2008-09, Rest of NSW, Males,"23,591",733.8,724.4,743.3
 Sydney LHD, 2008-09, Rest of NSW, Females,"16,527",465.3,458.1,472.5
 Sydney LHD, 2008-09, Rest of NSW, Persons,"40,118",598.7,592.8,604.6
 Sydney LHD, 2008-09, Total NSW, Males,"25,535",729.3,720.3,738.3
 Sydney LHD, 2008-09, Total NSW, Females,"17,694",459.8,452.9,466.7
 Sydney LHD, 2008-09, Total NSW, Persons,"43,229",593.4,587.8,599
 Sydney LHD, 2009-10, Sydney LHD, Males,"2,095",736,704.3,768.7
 Sydney LHD, 2009-10, Sydney LHD, Females,"1,168",382.3,360.4,405.3
 Sydney LHD, 2009-10, Sydney LHD, Persons,"3,263",557.9,538.6,577.6
 Sydney LHD, 2009-10, Rest of NSW, Males,"23,534",717.9,708.7,727.2
 Sydney LHD, 2009-10, Rest of NSW, Females,"16,786",461.8,454.7,469
 Sydney LHD, 2009-10, Rest of NSW, Persons,"40,320",589.1,583.3,594.9
 Sydney LHD, 2009-10, Total NSW, Males,"25,629",718,709.2,726.9
 Sydney LHD, 2009-10, Total NSW, Females,"17,954",456.6,449.8,463.4
 Sydney LHD, 2009-10, Total NSW, Persons,"43,583",586.3,580.7,591.8
 Sydney LHD, 2010-11, Sydney LHD, Males,"2,161",752.9,721,785.8
 Sydney LHD, 2010-11, Sydney LHD, Females,"1,214",398.1,375.7,421.4
 Sydney LHD, 2010-11, Sydney LHD, Persons,"3,376",573.5,554.1,593.5
 Sydney LHD, 2010-11, Rest of NSW, Males,"24,062",719.6,710.5,728.8
 Sydney LHD, 2010-11, Rest of NSW, Females,"17,086",460.8,453.7,467.9
 Sydney LHD, 2010-11, Rest of NSW, Persons,"41,148",589,583.3,594.8
 Sydney LHD, 2010-11, Total NSW, Males,"26,223",720.4,711.7,729.3
 Sydney LHD, 2010-11, Total NSW, Females,"18,301",456,449.3,462.8
 Sydney LHD, 2010-11, Total NSW, Persons,"44,524",586.7,581.2,592.2
 Sydney LHD, 2011-12, Sydney LHD, Males,"2,304",785.7,753.6,818.9
 Sydney LHD, 2011-12, Sydney LHD, Females,"1,396",457.8,433.8,482.8
 Sydney LHD, 2011-12, Sydney LHD, Persons,"3,700",619,599,639.5
 Sydney LHD, 2011-12, Rest of NSW, Males,"24,672",723.3,714.2,732.4
 Sydney LHD, 2011-12, Rest of NSW, Females,"17,384",462.7,455.7,469.8
 Sydney LHD, 2011-12, Rest of NSW, Persons,"42,056",591.4,585.7,597.1
 Sydney LHD, 2011-12, Total NSW, Males,"26,976",726.6,717.9,735.4
 Sydney LHD, 2011-12, Total NSW, Females,"18,780",462.4,455.7,469.2
 Sydney LHD, 2011-12, Total NSW, Persons,"45,756",592.6,587.1,598.1
 Sydney LHD, 2012-13, Sydney LHD, Males,"2,169",732,701.1,763.8
 Sydney LHD, 2012-13, Sydney LHD, Females,"1,435",464.8,440.7,489.8
 Sydney LHD, 2012-13, Sydney LHD, Persons,"3,604",595.1,575.6,615.1
 Sydney LHD, 2012-13, Rest of NSW, Males,"25,777",748.2,739,757.5
 Sydney LHD, 2012-13, Rest of NSW, Females,"17,623",459,452.1,465.9
 Sydney LHD, 2012-13, Rest of NSW, Persons,"43,400",601.3,595.6,607.1
 Sydney LHD, 2012-13, Total NSW, Males,"27,947",744.5,735.7,753.3
 Sydney LHD, 2012-13, Total NSW, Females,"19,058",459.4,452.8,466.1
 Sydney LHD, 2012-13, Total NSW, Persons,"47,005",599.4,593.9,604.9
 Sydney LHD, 2013-14, Sydney LHD, Males,"2,423",799.5,767.6,832.4
 Sydney LHD, 2013-14, Sydney LHD, Females,"1,553",485.5,461.3,510.7
 Sydney LHD, 2013-14, Sydney LHD, Persons,"3,977",639.1,619.2,659.5
 Sydney LHD, 2013-14, Rest of NSW, Males,"25,696",736,727,745.2
 Sydney LHD, 2013-14, Rest of NSW, Females,"17,750",459.8,452.9,466.8
 Sydney LHD, 2013-14, Rest of NSW, Persons,"43,446",595.6,589.9,601.3
 Sydney LHD, 2013-14, Total NSW, Males,"28,120",738.4,729.8,747.2
 Sydney LHD, 2013-14, Total NSW, Females,"19,303",462.3,455.7,469
 Sydney LHD, 2013-14, Total NSW, Persons,"47,423",597.7,592.2,603.1
 Sydney LHD, 2014-15, Sydney LHD, Males,"2,505",811.3,779.4,844.2
 Sydney LHD, 2014-15, Sydney LHD, Females,"1,541",468.9,445.3,493.3
 Sydney LHD, 2014-15, Sydney LHD, Persons,"4,046",634.9,615.2,655.1
 Sydney LHD, 2014-15, Rest of NSW, Males,"26,370",742.9,733.8,752
 Sydney LHD, 2014-15, Rest of NSW, Females,"17,707",450.9,444.1,457.8
 Sydney LHD, 2014-15, Rest of NSW, Persons,"44,077",594.4,588.8,600.1
 Sydney LHD, 2014-15, Total NSW, Males,"28,875",745.7,737.1,754.4
 Sydney LHD, 2014-15, Total NSW, Females,"19,248",453.2,446.7,459.8
 Sydney LHD, 2014-15, Total NSW, Persons,"48,123",596.5,591.1,601.9
 Sydney LHD, 2015-16, Sydney LHD, Males,"2,789",871.3,838.8,904.7
 Sydney LHD, 2015-16, Sydney LHD, Females,"1,774",537.4,512.3,563.4
 Sydney LHD, 2015-16, Sydney LHD, Persons,"4,562",700.8,680.4,721.8
 Sydney LHD, 2015-16, Rest of NSW, Males,"25,840",717,708.2,725.9
 Sydney LHD, 2015-16, Rest of NSW, Females,"17,191",430.2,423.7,436.9
 Sydney LHD, 2015-16, Rest of NSW, Persons,"43,030",571.6,566.1,577.1
 Sydney LHD, 2015-16, Total NSW, Males,"28,628",729.8,721.3,738.4
 Sydney LHD, 2015-16, Total NSW, Females,"18,964",440.2,433.8,446.6
 Sydney LHD, 2015-16, Total NSW, Persons,"47,593",582.5,577.2,587.8
 Sydney LHD, 2016-17, Sydney LHD, Males,"2,826",845,813.7,877.2
 Sydney LHD, 2016-17, Sydney LHD, Females,"1,822",538,513.3,563.7
 Sydney LHD, 2016-17, Sydney LHD, Persons,"4,648",690.1,670.1,710.5
 Sydney LHD, 2016-17, Rest of NSW, Males,"27,396",746.6,737.7,755.6
 Sydney LHD, 2016-17, Rest of NSW, Females,"18,137",445.9,439.2,452.6
 Sydney LHD, 2016-17, Rest of NSW, Persons,"45,533",594.6,589,600.2
 Sydney LHD, 2016-17, Total NSW, Males,"30,222",766.2,757.5,775
 Sydney LHD, 2016-17, Total NSW, Females,"19,959",459.4,452.9,465.9
 Sydney LHD, 2016-17, Total NSW, Persons,"50,182",610.3,604.9,615.7
 South Western Sydney LHD, 2001-02, South Western Sydney LHD, Males,"2,174",593.2,567.9,619.4
 South Western Sydney LHD, 2001-02, South Western Sydney LHD, Females,"1,125",304.6,287,323
 South Western Sydney LHD, 2001-02, South Western Sydney LHD, Persons,"3,299",450,434.6,465.8
 South Western Sydney LHD, 2001-02, Rest of NSW, Males,"21,739",767.4,757.2,777.7
 South Western Sydney LHD, 2001-02, Rest of NSW, Females,"13,358",426,418.7,433.3
 South Western Sydney LHD, 2001-02, Rest of NSW, Persons,"35,097",597.4,591.1,603.7
 South Western Sydney LHD, 2001-02, Total NSW, Males,"23,913",747.3,737.9,756.9
 South Western Sydney LHD, 2001-02, Total NSW, Females,"14,483",411.8,405.1,418.6
 South Western Sydney LHD, 2001-02, Total NSW, Persons,"38,396",580,574.2,585.9
 South Western Sydney LHD, 2002-03, South Western Sydney LHD, Males,"1,850",509.3,485.7,533.7
 South Western Sydney LHD, 2002-03, South Western Sydney LHD, Females,"1,052",283,266.1,300.6
 South Western Sydney LHD, 2002-03, South Western Sydney LHD, Persons,"2,903",397.6,383.1,412.5
 South Western Sydney LHD, 2002-03, Rest of NSW, Males,"19,118",667.8,658.4,677.4
 South Western Sydney LHD, 2002-03, Rest of NSW, Females,"12,633",396.1,389.1,403.1
 South Western Sydney LHD, 2002-03, Rest of NSW, Persons,"31,751",532.1,526.3,538
 South Western Sydney LHD, 2002-03, Total NSW, Males,"20,969",650.2,641.4,659.1
 South Western Sydney LHD, 2002-03, Total NSW, Females,"13,685",382.7,376.3,389.2
 South Western Sydney LHD, 2002-03, Total NSW, Persons,"34,654",516.5,511,521.9
 South Western Sydney LHD, 2003-04, South Western Sydney LHD, Males,"1,900",520.6,496.9,545.1
 South Western Sydney LHD, 2003-04, South Western Sydney LHD, Females,"1,106",294,276.9,311.9
 South Western Sydney LHD, 2003-04, South Western Sydney LHD, Persons,"3,005",408.6,394,423.6
 South Western Sydney LHD, 2003-04, Rest of NSW, Males,"19,358",670.8,661.4,680.4
 South Western Sydney LHD, 2003-04, Rest of NSW, Females,"13,213",409.7,402.6,416.8
 South Western Sydney LHD, 2003-04, Rest of NSW, Persons,"32,570",540.4,534.6,546.3
 South Western Sydney LHD, 2003-04, Total NSW, Males,"21,257",653.5,644.7,662.4
 South Western Sydney LHD, 2003-04, Total NSW, Females,"14,319",395.9,389.4,402.5
 South Western Sydney LHD, 2003-04, Total NSW, Persons,"35,576",524.8,519.3,530.3
 South Western Sydney LHD, 2004-05, South Western Sydney LHD, Males,"1,895",516.5,493.1,540.8
 South Western Sydney LHD, 2004-05, South Western Sydney LHD, Females,"1,110",289.9,273,307.5
 South Western Sydney LHD, 2004-05, South Western Sydney LHD, Persons,"3,005",403.5,389.1,418.3
 South Western Sydney LHD, 2004-05, Rest of NSW, Males,"20,102",690.3,680.7,699.9
 South Western Sydney LHD, 2004-05, Rest of NSW, Females,"13,250",406.2,399.2,413.3
 South Western Sydney LHD, 2004-05, Rest of NSW, Persons,"33,352",548.1,542.2,554
 South Western Sydney LHD, 2004-05, Total NSW, Males,"21,997",670.3,661.4,679.2
 South Western Sydney LHD, 2004-05, Total NSW, Females,"14,360",392.3,385.9,398.9
 South Western Sydney LHD, 2004-05, Total NSW, Persons,"36,358",530.9,525.5,536.4
 South Western Sydney LHD, 2005-06, South Western Sydney LHD, Males,"1,938",523.3,499.8,547.5
 South Western Sydney LHD, 2005-06, South Western Sydney LHD, Females,"1,172",300.4,283.4,318.1
 South Western Sydney LHD, 2005-06, South Western Sydney LHD, Persons,"3,110",410.9,396.5,425.7
 South Western Sydney LHD, 2005-06, Rest of NSW, Males,"21,366",725.7,716,735.5
 South Western Sydney LHD, 2005-06, Rest of NSW, Females,"13,998",427,419.9,434.3
 South Western Sydney LHD, 2005-06, Rest of NSW, Persons,"35,364",576,570,582
 South Western Sydney LHD, 2005-06, Total NSW, Males,"23,303",702.7,693.6,711.8
 South Western Sydney LHD, 2005-06, Total NSW, Females,"15,170",412,405.4,418.6
 South Western Sydney LHD, 2005-06, Total NSW, Persons,"38,474",556.5,551,562.1
 South Western Sydney LHD, 2006-07, South Western Sydney LHD, Males,"2,068",546.9,523.2,571.4
 South Western Sydney LHD, 2006-07, South Western Sydney LHD, Females,"1,283",320.6,303.2,338.7
 South Western Sydney LHD, 2006-07, South Western Sydney LHD, Persons,"3,351",432.2,417.6,447.2
 South Western Sydney LHD, 2006-07, Rest of NSW, Males,"22,871",765,755.1,775
 South Western Sydney LHD, 2006-07, Rest of NSW, Females,"15,267",461.7,454.3,469.2
 South Western Sydney LHD, 2006-07, Rest of NSW, Persons,"38,138",612.6,606.4,618.8
 South Western Sydney LHD, 2006-07, Total NSW, Males,"24,939",740.5,731.3,749.8
 South Western Sydney LHD, 2006-07, Total NSW, Females,"16,550",445.2,438.4,452.1
 South Western Sydney LHD, 2006-07, Total NSW, Persons,"41,489",591.6,585.9,597.3
 South Western Sydney LHD, 2007-08, South Western Sydney LHD, Males,"2,172",563.3,539.5,587.8
 South Western Sydney LHD, 2007-08, South Western Sydney LHD, Females,"1,297",316.4,299.3,334.1
 South Western Sydney LHD, 2007-08, South Western Sydney LHD, Persons,"3,469",437.6,423.1,452.5
 South Western Sydney LHD, 2007-08, Rest of NSW, Males,"23,035",755.6,745.9,765.5
 South Western Sydney LHD, 2007-08, Rest of NSW, Females,"15,854",470.5,463.1,478
 South Western Sydney LHD, 2007-08, Rest of NSW, Persons,"38,889",612.6,606.5,618.7
 South Western Sydney LHD, 2007-08, Total NSW, Males,"25,207",734.1,725,743.2
 South Western Sydney LHD, 2007-08, Total NSW, Females,"17,151",452.4,445.5,459.3
 South Western Sydney LHD, 2007-08, Total NSW, Persons,"42,358",592.2,586.5,597.9
 South Western Sydney LHD, 2008-09, South Western Sydney LHD, Males,"2,204",557.7,534.3,581.8
 South Western Sydney LHD, 2008-09, South Western Sydney LHD, Females,"1,196",285.2,269.2,301.9
 South Western Sydney LHD, 2008-09, South Western Sydney LHD, Persons,"3,400",418.5,404.5,432.9
 South Western Sydney LHD, 2008-09, Rest of NSW, Males,"23,331",751.5,741.9,761.3
 South Western Sydney LHD, 2008-09, Rest of NSW, Females,"16,498",483.1,475.7,490.7
 South Western Sydney LHD, 2008-09, Rest of NSW, Persons,"39,829",616.7,610.6,622.8
 South Western Sydney LHD, 2008-09, Total NSW, Males,"25,535",729.3,720.3,738.3
 South Western Sydney LHD, 2008-09, Total NSW, Females,"17,694",459.8,452.9,466.7
 South Western Sydney LHD, 2008-09, Total NSW, Persons,"43,229",593.4,587.8,599
 South Western Sydney LHD, 2009-10, South Western Sydney LHD, Males,"2,274",563.5,540.3,587.4
 South Western Sydney LHD, 2009-10, South Western Sydney LHD, Females,"1,223",284.2,268.4,300.7
 South Western Sydney LHD, 2009-10, South Western Sydney LHD, Persons,"3,497",420.9,407,435.2
 South Western Sydney LHD, 2009-10, Rest of NSW, Males,"23,356",738.2,728.7,747.8
 South Western Sydney LHD, 2009-10, Rest of NSW, Females,"16,731",479.5,472.1,486.9
 South Western Sydney LHD, 2009-10, Rest of NSW, Persons,"40,086",608.3,602.3,614.3
 South Western Sydney LHD, 2009-10, Total NSW, Males,"25,629",718,709.2,726.9
 South Western Sydney LHD, 2009-10, Total NSW, Females,"17,954",456.6,449.8,463.4
 South Western Sydney LHD, 2009-10, Total NSW, Persons,"43,583",586.3,580.7,591.8
 South Western Sydney LHD, 2010-11, South Western Sydney LHD, Males,"2,351",572,548.8,595.8
 South Western Sydney LHD, 2010-11, South Western Sydney LHD, Females,"1,286",291.1,275.3,307.5
 South Western Sydney LHD, 2010-11, South Western Sydney LHD, Persons,"3,637",428.2,414.3,442.4
 South Western Sydney LHD, 2010-11, Rest of NSW, Males,"23,872",739.4,730,748.9
 South Western Sydney LHD, 2010-11, Rest of NSW, Females,"17,015",477.7,470.4,485.1
 South Western Sydney LHD, 2010-11, Rest of NSW, Persons,"40,887",607.6,601.7,613.6
 South Western Sydney LHD, 2010-11, Total NSW, Males,"26,223",720.4,711.7,729.3
 South Western Sydney LHD, 2010-11, Total NSW, Females,"18,301",456,449.3,462.8
 South Western Sydney LHD, 2010-11, Total NSW, Persons,"44,524",586.7,581.2,592.2
 South Western Sydney LHD, 2011-12, South Western Sydney LHD, Males,"2,438",582.3,559.2,606.1
 South Western Sydney LHD, 2011-12, South Western Sydney LHD, Females,"1,255",278.6,263.2,294.5
 South Western Sydney LHD, 2011-12, South Western Sydney LHD, Persons,"3,694",426.6,412.8,440.6
 South Western Sydney LHD, 2011-12, Rest of NSW, Males,"24,537",745.4,736,754.8
 South Western Sydney LHD, 2011-12, Rest of NSW, Females,"17,525",487.1,479.8,494.5
 South Western Sydney LHD, 2011-12, Rest of NSW, Persons,"42,062",614.8,608.9,620.8
 South Western Sydney LHD, 2011-12, Total NSW, Males,"26,976",726.6,717.9,735.4
 South Western Sydney LHD, 2011-12, Total NSW, Females,"18,780",462.4,455.7,469.2
 South Western Sydney LHD, 2011-12, Total NSW, Persons,"45,756",592.6,587.1,598.1
 South Western Sydney LHD, 2012-13, South Western Sydney LHD, Males,"2,728",638.2,614.2,662.8
 South Western Sydney LHD, 2012-13, South Western Sydney LHD, Females,"1,434",310.7,294.7,327.4
 South Western Sydney LHD, 2012-13, South Western Sydney LHD, Persons,"4,161",470.3,456,484.9
 South Western Sydney LHD, 2012-13, Rest of NSW, Males,"25,219",758.2,748.8,767.7
 South Western Sydney LHD, 2012-13, Rest of NSW, Females,"17,625",479.5,472.3,486.8
 South Western Sydney LHD, 2012-13, Rest of NSW, Persons,"42,844",616.8,610.9,622.8
 South Western Sydney LHD, 2012-13, Total NSW, Males,"27,947",744.5,735.7,753.3
 South Western Sydney LHD, 2012-13, Total NSW, Females,"19,058",459.4,452.8,466.1
 South Western Sydney LHD, 2012-13, Total NSW, Persons,"47,005",599.4,593.9,604.9
 South Western Sydney LHD, 2013-14, South Western Sydney LHD, Males,"2,718",621.5,598.1,645.5
 South Western Sydney LHD, 2013-14, South Western Sydney LHD, Females,"1,437",302,286.4,318.1
 South Western Sydney LHD, 2013-14, South Western Sydney LHD, Persons,"4,155",457,443.2,471.3
 South Western Sydney LHD, 2013-14, Rest of NSW, Males,"25,402",753.6,744.3,763
 South Western Sydney LHD, 2013-14, Rest of NSW, Females,"17,866",484.2,477,491.5
 South Western Sydney LHD, 2013-14, Rest of NSW, Persons,"43,268",616.8,611,622.8
 South Western Sydney LHD, 2013-14, Total NSW, Males,"28,120",738.4,729.8,747.2
 South Western Sydney LHD, 2013-14, Total NSW, Females,"19,303",462.3,455.7,469
 South Western Sydney LHD, 2013-14, Total NSW, Persons,"47,423",597.7,592.2,603.1
 South Western Sydney LHD, 2014-15, South Western Sydney LHD, Males,"2,912",650.5,626.8,674.7
 South Western Sydney LHD, 2014-15, South Western Sydney LHD, Females,"1,456",300.8,285.4,316.8
 South Western Sydney LHD, 2014-15, South Western Sydney LHD, Persons,"4,367",470.9,456.9,485.2
 South Western Sydney LHD, 2014-15, Rest of NSW, Males,"25,964",757.9,748.6,767.3
 South Western Sydney LHD, 2014-15, Rest of NSW, Females,"17,793",474,466.9,481.2
 South Western Sydney LHD, 2014-15, Rest of NSW, Persons,"43,756",613.5,607.7,619.4
 South Western Sydney LHD, 2014-15, Total NSW, Males,"28,875",745.7,737.1,754.4
 South Western Sydney LHD, 2014-15, Total NSW, Females,"19,248",453.2,446.7,459.8
 South Western Sydney LHD, 2014-15, Total NSW, Persons,"48,123",596.5,591.1,601.9
 South Western Sydney LHD, 2015-16, South Western Sydney LHD, Males,"2,880",621.5,598.9,644.9
 South Western Sydney LHD, 2015-16, South Western Sydney LHD, Females,"1,508",304.6,289.3,320.6
 South Western Sydney LHD, 2015-16, South Western Sydney LHD, Persons,"4,388",459.3,445.7,473.2
 South Western Sydney LHD, 2015-16, Rest of NSW, Males,"25,748",741.5,732.3,750.7
 South Western Sydney LHD, 2015-16, Rest of NSW, Females,"17,456",458.1,451.2,465.1
 South Western Sydney LHD, 2015-16, Rest of NSW, Persons,"43,205",598,592.2,603.7
 South Western Sydney LHD, 2015-16, Total NSW, Males,"28,628",729.8,721.3,738.4
 South Western Sydney LHD, 2015-16, Total NSW, Females,"18,964",440.2,433.8,446.6
 South Western Sydney LHD, 2015-16, Total NSW, Persons,"47,593",582.5,577.2,587.8
 South Western Sydney LHD, 2016-17, South Western Sydney LHD, Males,"2,925",606.8,584.8,629.3
 South Western Sydney LHD, 2016-17, South Western Sydney LHD, Females,"1,610",316.3,300.9,332.3
 South Western Sydney LHD, 2016-17, South Western Sydney LHD, Persons,"4,535",458.8,445.4,472.4
 South Western Sydney LHD, 2016-17, Rest of NSW, Males,"27,297",773.1,763.9,782.5
 South Western Sydney LHD, 2016-17, Rest of NSW, Females,"18,349",472.2,465.2,479.3
 South Western Sydney LHD, 2016-17, Rest of NSW, Persons,"45,646",621.3,615.5,627.2
 South Western Sydney LHD, 2016-17, Total NSW, Males,"30,222",766.2,757.5,775
 South Western Sydney LHD, 2016-17, Total NSW, Females,"19,959",459.4,452.9,465.9
 South Western Sydney LHD, 2016-17, Total NSW, Persons,"50,182",610.3,604.9,615.7
 South Eastern Sydney LHD, 2001-02, South Eastern Sydney LHD, Males,"2,773",704.8,678.6,731.8
 South Eastern Sydney LHD, 2001-02, South Eastern Sydney LHD, Females,"2,030",482.8,461.7,504.5
 South Eastern Sydney LHD, 2001-02, South Eastern Sydney LHD, Persons,"4,803",594.8,578.1,612
 South Eastern Sydney LHD, 2001-02, Rest of NSW, Males,"21,141",754.4,744.2,764.7
 South Eastern Sydney LHD, 2001-02, Rest of NSW, Females,"12,452",402.9,395.8,410.1
 South Eastern Sydney LHD, 2001-02, Rest of NSW, Persons,"33,593",579.1,573,585.4
 South Eastern Sydney LHD, 2001-02, Total NSW, Males,"23,913",747.3,737.9,756.9
 South Eastern Sydney LHD, 2001-02, Total NSW, Females,"14,483",411.8,405.1,418.6
 South Eastern Sydney LHD, 2001-02, Total NSW, Persons,"38,396",580,574.2,585.9
 South Eastern Sydney LHD, 2002-03, South Eastern Sydney LHD, Males,"2,248",572.2,548.6,596.5
 South Eastern Sydney LHD, 2002-03, South Eastern Sydney LHD, Females,"1,784",417.6,398.1,437.7
 South Eastern Sydney LHD, 2002-03, South Eastern Sydney LHD, Persons,"4,032",496.9,481.6,512.5
 South Eastern Sydney LHD, 2002-03, Rest of NSW, Males,"18,720",661.2,651.7,670.8
 South Eastern Sydney LHD, 2002-03, Rest of NSW, Females,"11,901",378.7,371.9,385.7
 South Eastern Sydney LHD, 2002-03, Rest of NSW, Persons,"30,622",519.9,514.1,525.8
 South Eastern Sydney LHD, 2002-03, Total NSW, Males,"20,969",650.2,641.4,659.1
 South Eastern Sydney LHD, 2002-03, Total NSW, Females,"13,685",382.7,376.3,389.2
 South Eastern Sydney LHD, 2002-03, Total NSW, Persons,"34,654",516.5,511,521.9
 South Eastern Sydney LHD, 2003-04, South Eastern Sydney LHD, Males,"2,420",613.3,588.9,638.4
 South Eastern Sydney LHD, 2003-04, South Eastern Sydney LHD, Females,"1,751",400.7,381.8,420.2
 South Eastern Sydney LHD, 2003-04, South Eastern Sydney LHD, Persons,"4,170",507.2,491.9,523
 South Eastern Sydney LHD, 2003-04, Rest of NSW, Males,"18,838",660.1,650.7,669.6
 South Eastern Sydney LHD, 2003-04, Rest of NSW, Females,"12,568",395.4,388.4,402.4
 South Eastern Sydney LHD, 2003-04, Rest of NSW, Persons,"31,405",527.9,522.1,533.8
