Time,Value,MEASURE,Description
2015,8524,ERP_P_5,Persons - 15-19 years (no.)
2016,8523,ERP_P_5,Persons - 15-19 years (no.)
2017,8541,ERP_P_5,Persons - 15-19 years (no.)
2012,10711,ERP_P_6,Persons - 20-24 years (no.)
2013,11167,ERP_P_6,Persons - 20-24 years (no.)
2014,11678,ERP_P_6,Persons - 20-24 years (no.)
2015,12312,ERP_P_6,Persons - 20-24 years (no.)
2016,13084,ERP_P_6,Persons - 20-24 years (no.)
2017,13579,ERP_P_6,Persons - 20-24 years (no.)
2012,13791,ERP_P_7,Persons - 25-29 years (no.)
2013,14332,ERP_P_7,Persons - 25-29 years (no.)
2014,15105,ERP_P_7,Persons - 25-29 years (no.)
2015,16104,ERP_P_7,Persons - 25-29 years (no.)
2016,17081,ERP_P_7,Persons - 25-29 years (no.)
2017,18235,ERP_P_7,Persons - 25-29 years (no.)
2012,12746,ERP_P_8,Persons - 30-34 years (no.)
2013,13368,ERP_P_8,Persons - 30-34 years (no.)
2014,14146,ERP_P_8,Persons - 30-34 years (no.)
2015,14941,ERP_P_8,Persons - 30-34 years (no.)
2016,16045,ERP_P_8,Persons - 30-34 years (no.)
2017,17120,ERP_P_8,Persons - 30-34 years (no.)
2012,11353,ERP_P_9,Persons - 35-39 years (no.)
2013,11391,ERP_P_9,Persons - 35-39 years (no.)
2014,11550,ERP_P_9,Persons - 35-39 years (no.)
2015,11945,ERP_P_9,Persons - 35-39 years (no.)
2016,12613,ERP_P_9,Persons - 35-39 years (no.)
2017,13332,ERP_P_9,Persons - 35-39 years (no.)
2012,10804,ERP_P_10,Persons - 40-44 years (no.)
2013,11020,ERP_P_10,Persons - 40-44 years (no.)
2014,11165,ERP_P_10,Persons - 40-44 years (no.)
2015,11268,ERP_P_10,Persons - 40-44 years (no.)
2016,11264,ERP_P_10,Persons - 40-44 years (no.)
2017,11307,ERP_P_10,Persons - 40-44 years (no.)
2012,9480,ERP_P_11,Persons - 45-49 years (no.)
2013,9446,ERP_P_11,Persons - 45-49 years (no.)
2014,9518,ERP_P_11,Persons - 45-49 years (no.)
2015,9706,ERP_P_11,Persons - 45-49 years (no.)
2016,10136,ERP_P_11,Persons - 45-49 years (no.)
2017,10600,ERP_P_11,Persons - 45-49 years (no.)
2012,8770,ERP_P_12,Persons - 50-54 years (no.)
2013,9047,ERP_P_12,Persons - 50-54 years (no.)
2014,9335,ERP_P_12,Persons - 50-54 years (no.)
2015,9408,ERP_P_12,Persons - 50-54 years (no.)
2016,9537,ERP_P_12,Persons - 50-54 years (no.)
2017,9447,ERP_P_12,Persons - 50-54 years (no.)
2012,7909,ERP_P_13,Persons - 55-59 years (no.)
2013,7972,ERP_P_13,Persons - 55-59 years (no.)
2014,8021,ERP_P_13,Persons - 55-59 years (no.)
2015,8261,ERP_P_13,Persons - 55-59 years (no.)
2016,8470,ERP_P_13,Persons - 55-59 years (no.)
2017,8787,ERP_P_13,Persons - 55-59 years (no.)
2012,7247,ERP_P_14,Persons - 60-64 years (no.)
2013,7272,ERP_P_14,Persons - 60-64 years (no.)
2014,7391,ERP_P_14,Persons - 60-64 years (no.)
2015,7458,ERP_P_14,Persons - 60-64 years (no.)
2016,7578,ERP_P_14,Persons - 60-64 years (no.)
2017,7756,ERP_P_14,Persons - 60-64 years (no.)
2012,6190,ERP_P_15,Persons - 65-69 years (no.)
2013,6432,ERP_P_15,Persons - 65-69 years (no.)
2014,6539,ERP_P_15,Persons - 65-69 years (no.)
2015,6639,ERP_P_15,Persons - 65-69 years (no.)
2016,6818,ERP_P_15,Persons - 65-69 years (no.)
2017,6882,ERP_P_15,Persons - 65-69 years (no.)
2012,4916,ERP_P_16,Persons - 70-74 years (no.)
2013,4916,ERP_P_16,Persons - 70-74 years (no.)
2014,5019,ERP_P_16,Persons - 70-74 years (no.)
2015,5129,ERP_P_16,Persons - 70-74 years (no.)
2016,5323,ERP_P_16,Persons - 70-74 years (no.)
2017,5604,ERP_P_16,Persons - 70-74 years (no.)
2012,4192,ERP_P_17,Persons - 75-79 years (no.)
2013,4263,ERP_P_17,Persons - 75-79 years (no.)
2014,4292,ERP_P_17,Persons - 75-79 years (no.)
2015,4401,ERP_P_17,Persons - 75-79 years (no.)
2016,4356,ERP_P_17,Persons - 75-79 years (no.)
2017,4373,ERP_P_17,Persons - 75-79 years (no.)
2012,3171,ERP_P_18,Persons - 80-84 years (no.)
2013,3182,ERP_P_18,Persons - 80-84 years (no.)
2014,3249,ERP_P_18,Persons - 80-84 years (no.)
2015,3261,ERP_P_18,Persons - 80-84 years (no.)
2016,3334,ERP_P_18,Persons - 80-84 years (no.)
2017,3471,ERP_P_18,Persons - 80-84 years (no.)
2012,3265,ERP_P_19,Persons - 85 and over (no.)
2013,3279,ERP_P_19,Persons - 85 and over (no.)
2014,3339,ERP_P_19,Persons - 85 and over (no.)
2015,3460,ERP_P_19,Persons - 85 and over (no.)
2016,3582,ERP_P_19,Persons - 85 and over (no.)
2017,3708,ERP_P_19,Persons - 85 and over (no.)
2012,148028,ERP_P_20,Persons - Total (no.)
2013,151309,ERP_P_20,Persons - Total (no.)
2014,154980,ERP_P_20,Persons - Total (no.)
2015,159222,ERP_P_20,Persons - Total (no.)
2016,164534,ERP_P_20,Persons - Total (no.)
2017,170089,ERP_P_20,Persons - Total (no.)
2012,68.2,ERP_18,Working Age Population (aged 15-64 years)
2013,68.3,ERP_18,Working Age Population (aged 15-64 years)
2014,68.7,ERP_18,Working Age Population (aged 15-64 years)
2015,69,ERP_18,Working Age Population (aged 15-64 years)
2016,69.5,ERP_18,Working Age Population (aged 15-64 years)
2017,69.8,ERP_18,Working Age Population (aged 15-64 years)
2012,35.5,ERP_19,Median Age - Males (years)
2013,35.3,ERP_19,Median Age - Males (years)
2014,35,ERP_19,Median Age - Males (years)
2015,34.7,ERP_19,Median Age - Males (years)
2016,34.6,ERP_19,Median Age - Males (years)
2017,34.4,ERP_19,Median Age - Males (years)
2012,37.3,ERP_22,Median Age - Females (years)
2013,37,ERP_22,Median Age - Females (years)
2014,36.7,ERP_22,Median Age - Females (years)
2015,36.3,ERP_22,Median Age - Females (years)
2016,36,ERP_22,Median Age - Females (years)
2017,35.8,ERP_22,Median Age - Females (years)
2012,36.4,ERP_23,Median Age - Persons (years)
2013,36.1,ERP_23,Median Age - Persons (years)
2014,35.8,ERP_23,Median Age - Persons (years)
2015,35.5,ERP_23,Median Age - Persons (years)
2016,35.3,ERP_23,Median Age - Persons (years)
2017,35.1,ERP_23,Median Age - Persons (years)
2012,2282,BD_2,Births and Deaths - Births (no.)
2013,2282,BD_2,Births and Deaths - Births (no.)
2014,2171,BD_2,Births and Deaths - Births (no.)
2015,2176,BD_2,Births and Deaths - Births (no.)
2016,2302,BD_2,Births and Deaths - Births (no.)
2012,746,BD_4,Births and Deaths - Deaths (no.)
2013,793,BD_4,Births and Deaths - Deaths (no.)
2014,762,BD_4,Births and Deaths - Deaths (no.)
2015,758,BD_4,Births and Deaths - Deaths (no.)
2016,756,BD_4,Births and Deaths - Deaths (no.)
2017,1005,BD_4,Births and Deaths - Deaths (no.)
2012,4.1,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2013,4.1,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2014,4,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2015,4,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2016,3.8,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2017,4.1,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2012,2967.1,ERP_21,Population density (ERP at 30 June) (persons/km2)
2013,3032.8,ERP_21,Population density (ERP at 30 June) (persons/km2)
2014,3106.4,ERP_21,Population density (ERP at 30 June) (persons/km2)
2015,3191.4,ERP_21,Population density (ERP at 30 June) (persons/km2)
2016,3297.9,ERP_21,Population density (ERP at 30 June) (persons/km2)
2017,3409.3,ERP_21,Population density (ERP at 30 June) (persons/km2)
2011,0.9,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2016,1,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2011,0.9,CENSUS_3,Overseas Born Population - Proportion of Total Population - Census
2016,1,CENSUS_3,Overseas Born Population - Proportion of Total Population - Census
2011,3.1,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2016,2.6,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2011,3.2,CENSUS_5,Born in North-West Europe (%)
2016,3.2,CENSUS_5,Born in North-West Europe (%)
2011,10.3,CENSUS_6,Born in Southern and Eastern Europe (%)
2016,9,CENSUS_6,Born in Southern and Eastern Europe (%)
2011,5.2,CENSUS_7,Born in North Africa and the Middle East (%)
2016,4.5,CENSUS_7,Born in North Africa and the Middle East (%)
2011,5.5,CENSUS_8,Born in South-East Asia (%)
2016,6.7,CENSUS_8,Born in South-East Asia (%)
2011,7.2,CENSUS_9,Born in North-East Asia (%)
2016,9.5,CENSUS_9,Born in North-East Asia (%)
2011,5.5,CENSUS_10,Born in Southern and Central Asia (%)
2016,6.8,CENSUS_10,Born in Southern and Central Asia (%)
2011,2.4,CENSUS_11,Born in Americas (%)
2016,3,CENSUS_11,Born in Americas (%)
2011,0.7,CENSUS_12,Born in Sub-Saharan Africa (%)
2016,0.7,CENSUS_12,Born in Sub-Saharan Africa (%)
2011,43.1,CENSUS_13,Total born overseas (%)
2016,46,CENSUS_13,Total born overseas (%)
2016,4,CENSUS_15,Buddhism (%)
2016,51.8,CENSUS_16,Christianity (%)
2016,4.2,CENSUS_17,Hinduism (%)
2016,8.7,CENSUS_18,Islam (%)
2016,0.6,CENSUS_19,Judaism (%)
2016,0.4,CENSUS_20,Other Religions (%)
2016,20.8,CENSUS_21,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation (%)"
2016,9.4,CENSUS_22,Religious Affiliation - Inadequately described or not stated (%)
2011,79.4,CENSUS_29,Australian citizen (%)
2016,73.7,CENSUS_29,Australian citizen (%)
2011,13.7,CENSUS_30,Not an Australian citizen (%)
2016,19.4,CENSUS_30,Not an Australian citizen (%)
2011,6.9,CENSUS_31,Australian Citizenship - Not stated (%)
2016,6.9,CENSUS_31,Australian Citizenship - Not stated (%)
2011,51.4,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2016,52.8,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2013,7967,CABEE_2,Number of non-employing businesses (no.)
2014,8106,CABEE_2,Number of non-employing businesses (no.)
2015,8192,CABEE_2,Number of non-employing businesses (no.)
2016,8796,CABEE_2,Number of non-employing businesses (no.)
2017,9423,CABEE_2,Number of non-employing businesses (no.)
2013,3583,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2014,3723,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2015,3899,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2016,4071,CABEE_3,Number of employing businesses: 1-4 employees (no.)
2017,4301,CABEE_3,Number of employing businesses: 1-4 employees (no.)
