Time,Value,MEASURE,Description
2012,1941,ERP_M_10,Males - 40-44 years (no.)
2013,1960,ERP_M_10,Males - 40-44 years (no.)
2014,1956,ERP_M_10,Males - 40-44 years (no.)
2015,1938,ERP_M_10,Males - 40-44 years (no.)
2016,1855,ERP_M_10,Males - 40-44 years (no.)
2017,1842,ERP_M_10,Males - 40-44 years (no.)
2012,1745,ERP_M_11,Males - 45-49 years (no.)
2013,1737,ERP_M_11,Males - 45-49 years (no.)
2014,1772,ERP_M_11,Males - 45-49 years (no.)
2015,1763,ERP_M_11,Males - 45-49 years (no.)
2016,1792,ERP_M_11,Males - 45-49 years (no.)
2017,1819,ERP_M_11,Males - 45-49 years (no.)
2012,1620,ERP_M_12,Males - 50-54 years (no.)
2013,1640,ERP_M_12,Males - 50-54 years (no.)
2014,1654,ERP_M_12,Males - 50-54 years (no.)
2015,1676,ERP_M_12,Males - 50-54 years (no.)
2016,1685,ERP_M_12,Males - 50-54 years (no.)
2017,1686,ERP_M_12,Males - 50-54 years (no.)
2012,1420,ERP_M_13,Males - 55-59 years (no.)
2013,1444,ERP_M_13,Males - 55-59 years (no.)
2014,1453,ERP_M_13,Males - 55-59 years (no.)
2015,1497,ERP_M_13,Males - 55-59 years (no.)
2016,1534,ERP_M_13,Males - 55-59 years (no.)
2017,1559,ERP_M_13,Males - 55-59 years (no.)
2012,1540,ERP_M_14,Males - 60-64 years (no.)
2013,1428,ERP_M_14,Males - 60-64 years (no.)
2014,1392,ERP_M_14,Males - 60-64 years (no.)
2015,1345,ERP_M_14,Males - 60-64 years (no.)
2016,1365,ERP_M_14,Males - 60-64 years (no.)
2017,1385,ERP_M_14,Males - 60-64 years (no.)
2012,1393,ERP_M_15,Males - 65-69 years (no.)
2013,1521,ERP_M_15,Males - 65-69 years (no.)
2014,1529,ERP_M_15,Males - 65-69 years (no.)
2015,1539,ERP_M_15,Males - 65-69 years (no.)
2016,1514,ERP_M_15,Males - 65-69 years (no.)
2017,1410,ERP_M_15,Males - 65-69 years (no.)
2012,1033,ERP_M_16,Males - 70-74 years (no.)
2013,1045,ERP_M_16,Males - 70-74 years (no.)
2014,1106,ERP_M_16,Males - 70-74 years (no.)
2015,1151,ERP_M_16,Males - 70-74 years (no.)
2016,1197,ERP_M_16,Males - 70-74 years (no.)
2017,1262,ERP_M_16,Males - 70-74 years (no.)
2012,690,ERP_M_17,Males - 75-79 years (no.)
2013,729,ERP_M_17,Males - 75-79 years (no.)
2014,744,ERP_M_17,Males - 75-79 years (no.)
2015,771,ERP_M_17,Males - 75-79 years (no.)
2016,792,ERP_M_17,Males - 75-79 years (no.)
2017,850,ERP_M_17,Males - 75-79 years (no.)
2012,521,ERP_M_18,Males - 80-84 years (no.)
2013,517,ERP_M_18,Males - 80-84 years (no.)
2014,509,ERP_M_18,Males - 80-84 years (no.)
2015,522,ERP_M_18,Males - 80-84 years (no.)
2016,555,ERP_M_18,Males - 80-84 years (no.)
2017,601,ERP_M_18,Males - 80-84 years (no.)
2012,538,ERP_M_19,Males - 85 and over (no.)
2013,541,ERP_M_19,Males - 85 and over (no.)
2014,565,ERP_M_19,Males - 85 and over (no.)
2015,583,ERP_M_19,Males - 85 and over (no.)
2016,616,ERP_M_19,Males - 85 and over (no.)
2017,621,ERP_M_19,Males - 85 and over (no.)
2012,26786,ERP_M_20,Males - Total (no.)
2013,26884,ERP_M_20,Males - Total (no.)
2014,26970,ERP_M_20,Males - Total (no.)
2015,27045,ERP_M_20,Males - Total (no.)
2016,27163,ERP_M_20,Males - Total (no.)
2017,27380,ERP_M_20,Males - Total (no.)
2012,1675,ERP_F_2,Females - 0-4 years (no.)
2013,1699,ERP_F_2,Females - 0-4 years (no.)
2014,1684,ERP_F_2,Females - 0-4 years (no.)
2015,1601,ERP_F_2,Females - 0-4 years (no.)
2016,1514,ERP_F_2,Females - 0-4 years (no.)
2017,1507,ERP_F_2,Females - 0-4 years (no.)
2012,1376,ERP_F_3,Females - 5-9 years (no.)
2013,1417,ERP_F_3,Females - 5-9 years (no.)
2014,1495,ERP_F_3,Females - 5-9 years (no.)
2015,1519,ERP_F_3,Females - 5-9 years (no.)
2016,1539,ERP_F_3,Females - 5-9 years (no.)
2017,1552,ERP_F_3,Females - 5-9 years (no.)
2012,1251,ERP_F_4,Females - 10-14 years (no.)
2013,1314,ERP_F_4,Females - 10-14 years (no.)
2014,1373,ERP_F_4,Females - 10-14 years (no.)
2015,1413,ERP_F_4,Females - 10-14 years (no.)
2016,1424,ERP_F_4,Females - 10-14 years (no.)
2017,1510,ERP_F_4,Females - 10-14 years (no.)
2012,1346,ERP_F_5,Females - 15-19 years (no.)
2013,1320,ERP_F_5,Females - 15-19 years (no.)
2014,1266,ERP_F_5,Females - 15-19 years (no.)
2015,1311,ERP_F_5,Females - 15-19 years (no.)
2016,1334,ERP_F_5,Females - 15-19 years (no.)
2017,1410,ERP_F_5,Females - 15-19 years (no.)
2012,1861,ERP_F_6,Females - 20-24 years (no.)
2013,1851,ERP_F_6,Females - 20-24 years (no.)
2014,1861,ERP_F_6,Females - 20-24 years (no.)
2015,1829,ERP_F_6,Females - 20-24 years (no.)
2016,1811,ERP_F_6,Females - 20-24 years (no.)
2017,1839,ERP_F_6,Females - 20-24 years (no.)
2012,2815,ERP_F_7,Females - 25-29 years (no.)
2013,2810,ERP_F_7,Females - 25-29 years (no.)
2014,2832,ERP_F_7,Females - 25-29 years (no.)
2015,2901,ERP_F_7,Females - 25-29 years (no.)
2016,2953,ERP_F_7,Females - 25-29 years (no.)
2017,3014,ERP_F_7,Females - 25-29 years (no.)
2012,2749,ERP_F_8,Females - 30-34 years (no.)
2013,2720,ERP_F_8,Females - 30-34 years (no.)
2014,2694,ERP_F_8,Females - 30-34 years (no.)
2015,2698,ERP_F_8,Females - 30-34 years (no.)
2016,2736,ERP_F_8,Females - 30-34 years (no.)
2017,2744,ERP_F_8,Females - 30-34 years (no.)
2012,2340,ERP_F_9,Females - 35-39 years (no.)
2013,2329,ERP_F_9,Females - 35-39 years (no.)
2014,2303,ERP_F_9,Females - 35-39 years (no.)
2015,2250,ERP_F_9,Females - 35-39 years (no.)
2016,2250,ERP_F_9,Females - 35-39 years (no.)
2017,2245,ERP_F_9,Females - 35-39 years (no.)
2012,2113,ERP_F_10,Females - 40-44 years (no.)
2013,2198,ERP_F_10,Females - 40-44 years (no.)
2014,2226,ERP_F_10,Females - 40-44 years (no.)
2015,2210,ERP_F_10,Females - 40-44 years (no.)
2016,2089,ERP_F_10,Females - 40-44 years (no.)
2017,2051,ERP_F_10,Females - 40-44 years (no.)
2012,1853,ERP_F_11,Females - 45-49 years (no.)
2013,1818,ERP_F_11,Females - 45-49 years (no.)
2014,1840,ERP_F_11,Females - 45-49 years (no.)
2015,1904,ERP_F_11,Females - 45-49 years (no.)
2016,1983,ERP_F_11,Females - 45-49 years (no.)
2017,2122,ERP_F_11,Females - 45-49 years (no.)
2012,1792,ERP_F_12,Females - 50-54 years (no.)
2013,1836,ERP_F_12,Females - 50-54 years (no.)
2014,1883,ERP_F_12,Females - 50-54 years (no.)
2015,1878,ERP_F_12,Females - 50-54 years (no.)
2016,1855,ERP_F_12,Females - 50-54 years (no.)
2017,1815,ERP_F_12,Females - 50-54 years (no.)
2012,1649,ERP_F_13,Females - 55-59 years (no.)
2013,1694,ERP_F_13,Females - 55-59 years (no.)
2014,1714,ERP_F_13,Females - 55-59 years (no.)
2015,1733,ERP_F_13,Females - 55-59 years (no.)
2016,1731,ERP_F_13,Females - 55-59 years (no.)
2017,1784,ERP_F_13,Females - 55-59 years (no.)
2012,1713,ERP_F_14,Females - 60-64 years (no.)
2013,1618,ERP_F_14,Females - 60-64 years (no.)
2014,1555,ERP_F_14,Females - 60-64 years (no.)
2015,1551,ERP_F_14,Females - 60-64 years (no.)
2016,1579,ERP_F_14,Females - 60-64 years (no.)
2017,1601,ERP_F_14,Females - 60-64 years (no.)
2012,1617,ERP_F_15,Females - 65-69 years (no.)
2013,1690,ERP_F_15,Females - 65-69 years (no.)
2014,1752,ERP_F_15,Females - 65-69 years (no.)
2015,1744,ERP_F_15,Females - 65-69 years (no.)
2016,1723,ERP_F_15,Females - 65-69 years (no.)
2017,1573,ERP_F_15,Females - 65-69 years (no.)
2012,1105,ERP_F_16,Females - 70-74 years (no.)
2013,1148,ERP_F_16,Females - 70-74 years (no.)
2014,1230,ERP_F_16,Females - 70-74 years (no.)
2015,1314,ERP_F_16,Females - 70-74 years (no.)
2016,1366,ERP_F_16,Females - 70-74 years (no.)
2017,1524,ERP_F_16,Females - 70-74 years (no.)
2012,803,ERP_F_17,Females - 75-79 years (no.)
2013,838,ERP_F_17,Females - 75-79 years (no.)
2014,876,ERP_F_17,Females - 75-79 years (no.)
2015,928,ERP_F_17,Females - 75-79 years (no.)
2016,1006,ERP_F_17,Females - 75-79 years (no.)
2017,1041,ERP_F_17,Females - 75-79 years (no.)
2012,724,ERP_F_18,Females - 80-84 years (no.)
2013,699,ERP_F_18,Females - 80-84 years (no.)
2014,684,ERP_F_18,Females - 80-84 years (no.)
2015,671,ERP_F_18,Females - 80-84 years (no.)
2016,658,ERP_F_18,Females - 80-84 years (no.)
2017,687,ERP_F_18,Females - 80-84 years (no.)
2012,1033,ERP_F_19,Females - 85 and over (no.)
2013,1026,ERP_F_19,Females - 85 and over (no.)
2014,1015,ERP_F_19,Females - 85 and over (no.)
2015,1013,ERP_F_19,Females - 85 and over (no.)
2016,1030,ERP_F_19,Females - 85 and over (no.)
2017,1057,ERP_F_19,Females - 85 and over (no.)
2012,29815,ERP_F_20,Females - Total (no.)
2013,30025,ERP_F_20,Females - Total (no.)
2014,30283,ERP_F_20,Females - Total (no.)
2015,30468,ERP_F_20,Females - Total (no.)
2016,30581,ERP_F_20,Females - Total (no.)
2017,31076,ERP_F_20,Females - Total (no.)
2012,3384,ERP_P_2,Persons - 0-4 years (no.)
2013,3426,ERP_P_2,Persons - 0-4 years (no.)
2014,3392,ERP_P_2,Persons - 0-4 years (no.)
2015,3251,ERP_P_2,Persons - 0-4 years (no.)
2016,3055,ERP_P_2,Persons - 0-4 years (no.)
2017,3030,ERP_P_2,Persons - 0-4 years (no.)
2012,2705,ERP_P_3,Persons - 5-9 years (no.)
2013,2827,ERP_P_3,Persons - 5-9 years (no.)
2014,2966,ERP_P_3,Persons - 5-9 years (no.)
2015,3041,ERP_P_3,Persons - 5-9 years (no.)
2016,3089,ERP_P_3,Persons - 5-9 years (no.)
2017,3093,ERP_P_3,Persons - 5-9 years (no.)
2012,2573,ERP_P_4,Persons - 10-14 years (no.)
2013,2630,ERP_P_4,Persons - 10-14 years (no.)
2014,2715,ERP_P_4,Persons - 10-14 years (no.)
2015,2785,ERP_P_4,Persons - 10-14 years (no.)
2016,2848,ERP_P_4,Persons - 10-14 years (no.)
2017,2954,ERP_P_4,Persons - 10-14 years (no.)
2012,2707,ERP_P_5,Persons - 15-19 years (no.)
2013,2655,ERP_P_5,Persons - 15-19 years (no.)
2014,2602,ERP_P_5,Persons - 15-19 years (no.)
2015,2642,ERP_P_5,Persons - 15-19 years (no.)
2016,2720,ERP_P_5,Persons - 15-19 years (no.)
2017,2835,ERP_P_5,Persons - 15-19 years (no.)
2012,3480,ERP_P_6,Persons - 20-24 years (no.)
2013,3504,ERP_P_6,Persons - 20-24 years (no.)
2014,3519,ERP_P_6,Persons - 20-24 years (no.)
2015,3471,ERP_P_6,Persons - 20-24 years (no.)
2016,3376,ERP_P_6,Persons - 20-24 years (no.)
2017,3424,ERP_P_6,Persons - 20-24 years (no.)
2012,5203,ERP_P_7,Persons - 25-29 years (no.)
2013,5104,ERP_P_7,Persons - 25-29 years (no.)
2014,5074,ERP_P_7,Persons - 25-29 years (no.)
2015,5147,ERP_P_7,Persons - 25-29 years (no.)
2016,5260,ERP_P_7,Persons - 25-29 years (no.)
2017,5358,ERP_P_7,Persons - 25-29 years (no.)
2012,5197,ERP_P_8,Persons - 30-34 years (no.)
2013,5161,ERP_P_8,Persons - 30-34 years (no.)
2014,5103,ERP_P_8,Persons - 30-34 years (no.)
2015,5136,ERP_P_8,Persons - 30-34 years (no.)
2016,5147,ERP_P_8,Persons - 30-34 years (no.)
2017,5124,ERP_P_8,Persons - 30-34 years (no.)
2012,4509,ERP_P_9,Persons - 35-39 years (no.)
2013,4475,ERP_P_9,Persons - 35-39 years (no.)
2014,4427,ERP_P_9,Persons - 35-39 years (no.)
2015,4309,ERP_P_9,Persons - 35-39 years (no.)
2016,4324,ERP_P_9,Persons - 35-39 years (no.)
2017,4348,ERP_P_9,Persons - 35-39 years (no.)
2012,4054,ERP_P_10,Persons - 40-44 years (no.)
2013,4158,ERP_P_10,Persons - 40-44 years (no.)
2014,4182,ERP_P_10,Persons - 40-44 years (no.)
2015,4148,ERP_P_10,Persons - 40-44 years (no.)
2016,3944,ERP_P_10,Persons - 40-44 years (no.)
2017,3893,ERP_P_10,Persons - 40-44 years (no.)
2012,3598,ERP_P_11,Persons - 45-49 years (no.)
2013,3555,ERP_P_11,Persons - 45-49 years (no.)
2014,3612,ERP_P_11,Persons - 45-49 years (no.)
2015,3667,ERP_P_11,Persons - 45-49 years (no.)
2016,3775,ERP_P_11,Persons - 45-49 years (no.)
2017,3941,ERP_P_11,Persons - 45-49 years (no.)
2012,3412,ERP_P_12,Persons - 50-54 years (no.)
2013,3476,ERP_P_12,Persons - 50-54 years (no.)
2014,3537,ERP_P_12,Persons - 50-54 years (no.)
2015,3554,ERP_P_12,Persons - 50-54 years (no.)
2016,3540,ERP_P_12,Persons - 50-54 years (no.)
2017,3501,ERP_P_12,Persons - 50-54 years (no.)
2012,3069,ERP_P_13,Persons - 55-59 years (no.)
2013,3138,ERP_P_13,Persons - 55-59 years (no.)
2014,3167,ERP_P_13,Persons - 55-59 years (no.)
2015,3230,ERP_P_13,Persons - 55-59 years (no.)
2016,3265,ERP_P_13,Persons - 55-59 years (no.)
2017,3343,ERP_P_13,Persons - 55-59 years (no.)
2012,3253,ERP_P_14,Persons - 60-64 years (no.)
2013,3046,ERP_P_14,Persons - 60-64 years (no.)
2014,2947,ERP_P_14,Persons - 60-64 years (no.)
2015,2896,ERP_P_14,Persons - 60-64 years (no.)
2016,2944,ERP_P_14,Persons - 60-64 years (no.)
2017,2986,ERP_P_14,Persons - 60-64 years (no.)
2012,3010,ERP_P_15,Persons - 65-69 years (no.)
2013,3211,ERP_P_15,Persons - 65-69 years (no.)
2014,3281,ERP_P_15,Persons - 65-69 years (no.)
2015,3283,ERP_P_15,Persons - 65-69 years (no.)
2016,3237,ERP_P_15,Persons - 65-69 years (no.)
2017,2983,ERP_P_15,Persons - 65-69 years (no.)
2012,2138,ERP_P_16,Persons - 70-74 years (no.)
2013,2193,ERP_P_16,Persons - 70-74 years (no.)
2014,2336,ERP_P_16,Persons - 70-74 years (no.)
2015,2465,ERP_P_16,Persons - 70-74 years (no.)
2016,2563,ERP_P_16,Persons - 70-74 years (no.)
2017,2786,ERP_P_16,Persons - 70-74 years (no.)
2012,1493,ERP_P_17,Persons - 75-79 years (no.)
2013,1567,ERP_P_17,Persons - 75-79 years (no.)
2014,1620,ERP_P_17,Persons - 75-79 years (no.)
2015,1699,ERP_P_17,Persons - 75-79 years (no.)
2016,1798,ERP_P_17,Persons - 75-79 years (no.)
2017,1891,ERP_P_17,Persons - 75-79 years (no.)
2012,1245,ERP_P_18,Persons - 80-84 years (no.)
2013,1216,ERP_P_18,Persons - 80-84 years (no.)
2014,1193,ERP_P_18,Persons - 80-84 years (no.)
2015,1193,ERP_P_18,Persons - 80-84 years (no.)
2016,1213,ERP_P_18,Persons - 80-84 years (no.)
2017,1288,ERP_P_18,Persons - 80-84 years (no.)
2012,1571,ERP_P_19,Persons - 85 and over (no.)
2013,1567,ERP_P_19,Persons - 85 and over (no.)
2014,1580,ERP_P_19,Persons - 85 and over (no.)
2015,1596,ERP_P_19,Persons - 85 and over (no.)
2016,1646,ERP_P_19,Persons - 85 and over (no.)
2017,1678,ERP_P_19,Persons - 85 and over (no.)
2012,56601,ERP_P_20,Persons - Total (no.)
2013,56909,ERP_P_20,Persons - Total (no.)
2014,57253,ERP_P_20,Persons - Total (no.)
2015,57513,ERP_P_20,Persons - Total (no.)
2016,57744,ERP_P_20,Persons - Total (no.)
2017,58456,ERP_P_20,Persons - Total (no.)
2012,68,ERP_18,Working Age Population (aged 15-64 years)
2013,67.3,ERP_18,Working Age Population (aged 15-64 years)
2014,66.7,ERP_18,Working Age Population (aged 15-64 years)
2015,66.4,ERP_18,Working Age Population (aged 15-64 years)
2016,66.3,ERP_18,Working Age Population (aged 15-64 years)
2017,66.3,ERP_18,Working Age Population (aged 15-64 years)
2012,37.8,ERP_19,Median Age - Males (years)
2013,37.9,ERP_19,Median Age - Males (years)
2014,38,ERP_19,Median Age - Males (years)
2015,38.1,ERP_19,Median Age - Males (years)
2016,38.3,ERP_19,Median Age - Males (years)
2017,38.4,ERP_19,Median Age - Males (years)
2012,38.9,ERP_22,Median Age - Females (years)
2013,39,ERP_22,Median Age - Females (years)
2014,39.2,ERP_22,Median Age - Females (years)
2015,39.3,ERP_22,Median Age - Females (years)
2016,39.3,ERP_22,Median Age - Females (years)
2017,39.3,ERP_22,Median Age - Females (years)
2012,38.3,ERP_23,Median Age - Persons (years)
2013,38.5,ERP_23,Median Age - Persons (years)
2014,38.6,ERP_23,Median Age - Persons (years)
2015,38.7,ERP_23,Median Age - Persons (years)
2016,38.8,ERP_23,Median Age - Persons (years)
2017,38.9,ERP_23,Median Age - Persons (years)
2012,668,BD_2,Births and Deaths - Births (no.)
2013,741,BD_2,Births and Deaths - Births (no.)
2014,683,BD_2,Births and Deaths - Births (no.)
2015,731,BD_2,Births and Deaths - Births (no.)
2016,641,BD_2,Births and Deaths - Births (no.)
2012,1.5,BD_3,Births and Deaths - Total fertility rate ( per female) (rate)
2013,1.4,BD_3,Births and Deaths - Total fertility rate ( per female) (rate)
2014,1.4,BD_3,Births and Deaths - Total fertility rate ( per female) (rate)
2015,1.4,BD_3,Births and Deaths - Total fertility rate ( per female) (rate)
2016,1.4,BD_3,Births and Deaths - Total fertility rate ( per female) (rate)
2012,315,BD_4,Births and Deaths - Deaths (no.)
2013,295,BD_4,Births and Deaths - Deaths (no.)
2014,338,BD_4,Births and Deaths - Deaths (no.)
2015,348,BD_4,Births and Deaths - Deaths (no.)
2016,322,BD_4,Births and Deaths - Deaths (no.)
2017,305,BD_4,Births and Deaths - Deaths (no.)
2012,4,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2013,3.8,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2014,3.7,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2015,3.8,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2016,3.9,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2017,3.6,BD_5,"Births and Deaths - Standardised death rate (per 1,000 population) (rate)"
2012,4610.1,ERP_21,Population density (ERP at 30 June) (persons/km2)
2013,4635.2,ERP_21,Population density (ERP at 30 June) (persons/km2)
2014,4663.2,ERP_21,Population density (ERP at 30 June) (persons/km2)
2015,4684.4,ERP_21,Population density (ERP at 30 June) (persons/km2)
2016,4703.2,ERP_21,Population density (ERP at 30 June) (persons/km2)
2017,4761.2,ERP_21,Population density (ERP at 30 June) (persons/km2)
2011,0.2,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2016,0.3,CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%)
2011,0.2,CENSUS_3,Overseas Born Population - Proportion of Total Population - Census
2016,0.3,CENSUS_3,Overseas Born Population - Proportion of Total Population - Census
2011,3.3,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2016,3.1,CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%)
2011,10.6,CENSUS_5,Born in North-West Europe (%)
2016,10.3,CENSUS_5,Born in North-West Europe (%)
2011,4.4,CENSUS_6,Born in Southern and Eastern Europe (%)
2016,4.2,CENSUS_6,Born in Southern and Eastern Europe (%)
2011,1.4,CENSUS_7,Born in North Africa and the Middle East (%)
2016,1.5,CENSUS_7,Born in North Africa and the Middle East (%)
2011,1.7,CENSUS_8,Born in South-East Asia (%)
2016,2.2,CENSUS_8,Born in South-East Asia (%)
2011,2.4,CENSUS_9,Born in North-East Asia (%)
2016,2.9,CENSUS_9,Born in North-East Asia (%)
2011,0.7,CENSUS_10,Born in Southern and Central Asia (%)
2016,0.7,CENSUS_10,Born in Southern and Central Asia (%)
2011,2.8,CENSUS_11,Born in Americas (%)
2016,3.2,CENSUS_11,Born in Americas (%)
2011,4.1,CENSUS_12,Born in Sub-Saharan Africa (%)
2016,4.2,CENSUS_12,Born in Sub-Saharan Africa (%)
2011,31.5,CENSUS_13,Total born overseas (%)
2016,32.4,CENSUS_13,Total born overseas (%)
2016,1.2,CENSUS_15,Buddhism (%)
2016,41,CENSUS_16,Christianity (%)
2016,0.5,CENSUS_17,Hinduism (%)
2016,0.4,CENSUS_18,Islam (%)
2016,13,CENSUS_19,Judaism (%)
2016,0.3,CENSUS_20,Other Religions (%)
2016,30.8,CENSUS_21,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation (%)"
2016,12.8,CENSUS_22,Religious Affiliation - Inadequately described or not stated (%)
2011,78,CENSUS_29,Australian citizen (%)
2016,78.8,CENSUS_29,Australian citizen (%)
2011,10.8,CENSUS_30,Not an Australian citizen (%)
2016,11.4,CENSUS_30,Not an Australian citizen (%)
2011,11.1,CENSUS_31,Australian Citizenship - Not stated (%)
2016,9.8,CENSUS_31,Australian Citizenship - Not stated (%)
2011,13.4,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2016,15.4,CENSUS_33,Speaks a Language Other Than English at Home - Proportion of total population (%)
2013,6219,CABEE_2,Number of non-employing businesses (no.)
2014,6356,CABEE_2,Number of non-employing businesses (no.)
2015,6440,CABEE_2,Number of non-employing businesses (no.)
2016,6568,CABEE_2,Number of non-employing businesses (no.)
2017,6771,CABEE_2,Number of non-employing businesses (no.)
